#{"t_start": 1788079090.1634924, "env_id": "None"}
r,l,t
-0.239651,12,2.918545
0.159878,12,4.630755
-0.027687,12,6.427475
-0.199561,12,8.258567
-0.083731,12,10.102757
-0.429811,12,11.901877
0.039462,12,13.723307
-0.174525,12,15.594092
0.231343,12,17.174635
0.06273,12,18.879219
0.13084,12,20.573338
0.092583,12,22.357351
0.137637,12,24.031449
0.216879,12,25.76717
-0.397051,12,27.573874
0.356243,12,29.188942
0.083557,12,30.9081
0.013491,12,32.654565
0.154804,12,34.361192
0.205837,12,36.099709
0.110949,12,37.807886
-0.344028,12,39.598011
0.000256,12,41.267033
-0.19619,12,43.128275
0.041296,12,44.819957
0.223887,12,46.558621
0.033014,12,48.306939
-0.134215,12,50.034452
0.202936,12,51.699154
0.275107,12,53.473578
0.245847,12,55.116855
-0.314489,12,56.839407
-0.139808,12,58.633915
0.120364,12,60.353169
0.069136,12,61.972394
-0.356228,12,63.755164
-0.231851,12,65.520689
-0.020502,12,67.209978
0.158217,12,68.866889
-0.193831,12,70.681391
-0.00473,12,72.398806
0.08654,12,74.155098
-0.256899,12,76.337427
-0.340822,12,78.147173
0.29187,12,79.813313
0.259933,12,81.464211
0.169707,12,83.203401
-0.010448,12,84.865118
0.187356,12,86.568252
-0.031435,12,88.309748
-0.208379,12,90.153025
0.0042,12,91.814232
0.078996,12,93.488607
-0.091277,12,95.238081
0.172273,12,96.927271
0.181791,12,98.642484
0.003338,12,100.465671
-0.206606,12,102.216876
-0.059588,12,103.925655
0.039612,12,105.652399
0.2022,12,107.434646
-0.150906,12,109.283294
0.077565,12,110.972479
0.213944,12,112.567437
0.384016,12,114.190104
-0.071954,12,115.840184
0.121562,12,117.485758
-0.061862,12,119.186315
0.111037,12,120.844137
0.048223,12,122.677632
0.222365,12,124.392723
0.049379,12,126.188152
0.127548,12,127.758819
0.432869,12,129.325067
-0.037014,12,130.994815
0.084519,12,132.762143
0.005017,12,134.414323
0.081015,12,136.08794
0.155111,12,137.795563
-0.087815,12,139.526155
0.341545,12,141.279513
0.087821,12,143.00824
-0.160142,12,144.803988
0.1583,12,146.52181
0.010619,12,148.183427
-0.34766,12,150.360041
0.110619,12,152.069927
0.154342,12,153.783321
0.584581,12,155.356879
0.202141,12,157.107943
-0.024271,12,158.777697
0.134568,12,160.517813
0.23207,12,162.231567
0.114667,12,163.9579
-0.030809,12,165.617457
-0.06227,12,167.301779
0.063743,12,169.017921
0.124146,12,170.682096
0.282333,12,172.33861
0.259463,12,173.969456
0.293841,12,175.640654
0.024926,12,177.396928
0.217631,12,179.033296
0.373435,12,180.627834
0.121577,12,182.334117
0.187154,12,184.081958
-0.147671,12,185.72066
0.002362,12,187.334154
-0.126744,12,189.208794
0.037768,12,190.996381
0.253845,12,192.601894
0.073536,12,194.182615
-0.234707,12,195.91661
0.032863,12,197.603151
0.006518,12,199.381216
0.104335,12,200.954166
-0.201293,12,202.713016
0.086819,12,204.493448
0.00889,12,206.262987
0.146156,12,207.998628
-0.015636,12,209.672433
-0.083585,12,211.390042
0.265063,12,213.126041
-0.07326,12,214.859625
-0.090753,12,216.512602
0.059686,12,218.266702
-0.297688,12,220.016438
0.049296,12,221.715882
0.01468,12,223.706489
0.21828,12,225.447772
0.533746,12,226.962212
0.227596,12,228.667174
-0.000523,12,230.373896
0.263324,12,232.102654
0.110865,12,233.80184
0.062499,12,235.482893
-0.074591,12,237.210194
0.003116,12,238.888658
0.234944,12,240.50358
0.350457,12,242.039904
0.198435,12,243.666598
0.426863,12,245.224948
-0.23683,12,246.974451
0.187303,12,248.626326
0.218056,12,250.221105
0.199875,12,251.92308
0.036592,12,253.655268
0.193286,12,255.304079
-0.004533,12,257.038112
-0.019571,12,258.708699
0.376013,12,260.214818
0.132645,12,261.841629
0.209972,12,263.533242
0.371901,12,265.191686
0.082798,12,266.922257
0.102577,12,268.611635
0.232753,12,270.316148
0.096853,12,271.951258
0.157966,12,273.580872
-0.129766,12,275.289269
0.070699,12,276.88402
0.213873,12,278.527149
0.085685,12,280.201813
-0.057834,12,282.002982
0.340476,12,283.622969
0.309651,12,285.316812
0.268786,12,286.93263
0.158046,12,288.611962
0.194551,12,290.26393
0.324666,12,291.960357
0.154204,12,293.97012
-0.126924,12,295.656627
0.327528,12,297.250793
0.272455,12,298.771306
0.213934,12,300.426287
0.244672,12,302.022552
0.27325,12,303.698707
0.237085,12,305.295212
0.477948,12,306.911529
-0.109585,12,308.672596
0.099081,12,310.236846
0.286906,12,311.850414
0.173052,12,313.502669
0.307798,12,315.211218
0.354236,12,316.727889
-0.04599,12,318.293517
0.241413,12,319.866179
0.205356,12,321.61269
-0.022777,12,323.348169
0.268516,12,324.998319
-0.324635,12,326.712844
-0.136007,12,328.482212
0.149712,12,330.118137
0.507347,12,331.843856
0.415309,12,333.568424
-0.18478,12,335.380831
0.37158,12,336.946594
0.263626,12,338.585696
0.234751,12,340.23157
-0.074375,12,341.94249
-0.095355,12,343.687944
0.163234,12,345.341081
0.334062,12,346.976298
0.249933,12,348.540148
0.129477,12,350.176294
0.26749,12,351.807577
0.232116,12,353.411376
0.125965,12,355.041762
0.465018,12,356.684893
0.190969,12,358.266339
0.311269,12,359.856748
0.152115,12,361.625843
0.191757,12,363.272399
0.413386,12,365.313478
0.221567,12,367.00711
0.20056,12,368.665535
0.034058,12,370.335186
0.426343,12,371.925281
0.180383,12,373.534508
0.068062,12,375.213892
0.354825,12,376.873948
0.367361,12,378.445518
0.393218,12,379.99676
0.267702,12,381.547626
0.276651,12,383.234636
0.347551,12,384.761753
0.204265,12,386.40953
0.202644,12,388.054301
0.276093,12,389.713356
0.306308,12,391.358785
-0.073923,12,393.020021
0.374713,12,394.662432
0.259424,12,396.318627
0.228661,12,397.985671
0.272757,12,399.603458
0.629516,12,401.140421
0.104714,12,402.790343
0.33657,12,404.422303
0.174614,12,406.033582
-0.0432,12,407.736873
0.087927,12,409.427477
0.130236,12,411.064581
0.126997,12,412.752464
0.481143,12,414.428729
0.084783,12,416.164473
0.076329,12,417.917651
0.080646,12,419.566336
0.215201,12,421.184435
0.216339,12,422.855175
0.082654,12,424.436539
0.197615,12,426.043926
0.300464,12,427.670229
0.488932,12,429.309962
0.167749,12,430.899427
-0.044171,12,432.648851
0.094278,12,434.312986
0.29547,12,436.377348
0.254854,12,438.055148
0.356489,12,439.587943
0.200512,12,441.312293
0.614292,12,442.803038
0.294178,12,444.405967
0.154018,12,446.15545
0.349537,12,447.752324
0.330246,12,449.343261
0.228531,12,450.911674
-0.085642,12,452.577672
0.239517,12,454.2436
